Participant,Gender,Age,SpanL1,[Field-1]-alcohol-relatedword1,[Field-1]-alcohol-relatedword2,[Field-1]-alcohol-relatedword3,[Field-1]-arena-relatedword1,[Field-1]-arena-relatedword2,[Field-1]-arena-relatedword3,[Field-1]-casa-relatedword1,[Field-1]-casa-relatedword2,[Field-1]-casa-relatedword3,[Field-1]-deporte-relatedword1,[Field-1]-deporte-relatedword2,[Field-1]-deporte-relatedword3,[Field-1]-doctor-relatedword1,[Field-1]-doctor-relatedword2,[Field-1]-doctor-relatedword3,[Field-1]-lechuga-relatedword1,[Field-1]-lechuga-relatedword2,[Field-1]-lechuga-relatedword3,[Field-1]-escoba-relatedword1,[Field-1]-escoba-relatedword2,[Field-1]-escoba-relatedword3,[Field-1]-foto-relatedword1,[Field-1]-foto-relatedword2,[Field-1]-foto-relatedword3,[Field-1]-descuento-relatedword1,[Field-1]-descuento-relatedword2,[Field-1]-descuento-relatedword3,[Field-1]-medicina-relatedword1,[Field-1]-medicina-relatedword2,[Field-1]-medicina-relatedword3,[Field-1]-reflejo-relatedword1,[Field-1]-reflejo-relatedword2,[Field-1]-reflejo-relatedword3,[Field-1]-soda-relatedword1,[Field-1]-soda-relatedword2,[Field-1]-soda-relatedword3,[Field-1]-verano-relatedword1,[Field-1]-verano-relatedword2,[Field-1]-verano-relatedword3,[Field-1]-volar-relatedword1,[Field-1]-volar-relatedword2,[Field-1]-volar-relatedword3,Forthisquestiontypethewordbananainthethreeboxes.-relatedword1,Forthisquestiontypethewordbananainthethreeboxes.-relatedword2,Forthisquestiontypethewordbananainthethreeboxes.-relatedword3,[Field-1]-head-relatedword1,[Field-1]-head-relatedword2,[Field-1]-head-relatedword3,[Field-1]-bank-relatedword1,[Field-1]-bank-relatedword2,[Field-1]-bank-relatedword3,[Field-1]-hotel-relatedword1,[Field-1]-hotel-relatedword2,[Field-1]-hotel-relatedword3,[Field-1]-car-relatedword1,[Field-1]-car-relatedword2,[Field-1]-car-relatedword3,[Field-1]-clothing-relatedword1,[Field-1]-clothing-relatedword2,[Field-1]-clothing-relatedword3,[Field-1]-exercise-relatedword1,[Field-1]-exercise-relatedword2,[Field-1]-exercise-relatedword3,[Field-1]-food-relatedword1,[Field-1]-food-relatedword2,[Field-1]-food-relatedword3,[Field-1]-drink-relatedword1,[Field-1]-drink-relatedword2,[Field-1]-drink-relatedword3,[Field-1]-injury-relatedword1,[Field-1]-injury-relatedword2,[Field-1]-injury-relatedword3,[Field-1]-mop-relatedword1,[Field-1]-mop-relatedword2,[Field-1]-mop-relatedword3,[Field-1]-plastic-relatedword1,[Field-1]-plastic-relatedword2,[Field-1]-plastic-relatedword3,[Field-1]-to_sleep-relatedword1,[Field-1]-to_sleep-relatedword2,[Field-1]-to_sleep-relatedword3,[Field-1]-tomato-relatedword1,[Field-1]-tomato-relatedword2,[Field-1]-tomato-relatedword3,[Field-1]-hot-relatedword1,[Field-1]-hot-relatedword2,[Field-1]-hot-relatedword3,[Field-1]-sweet-relatedword1,[Field-1]-sweet-relatedword2,[Field-1]-sweet-relatedword3,LangSpoken,Lang_0-5,Lang_6-12,Lang_13-18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country
sp150,Male,26,Yes,ebrio,mal,hediondo,playa,material,textura,hogar,familia,padres,correr,futbol,cansado,salud,atencion,calidad,vegetal,sano,rico,limpieza,mamá,tierra,sonrisa,recuerdos,imagenes,dinero,gasto,bueno,salud,edad,enfermedad,yo,vidrio,imagen,bebida,bebestible,gas,playa,bebidas,descanso,avion,cielo,pajaros,banana,banana,banana,hair,skin,dandruff,money,interest,debt,trivago,vacation,relaxed,wheel,passenger,road,jacket,shirt,pants,tired,soccer,sweat,burger,fries,nuggets,cool,relief,taste,fracture,pain,blood,cleaning,wife,mom,polluted,ocean,fish,bed,blanket,warm kitty,plant,vegetable,growing,sun,drinks,ice,my wife,me,mom,Spanish and English,Spanish,Spanish,Spanish,No,,,No,Yes,USA for about a year.
sp151,Female,32,Yes,bebida,borracho,vodka,playa,sol,agua,cuartos,familia,sala,futbol,pelota,golf,enfermo,enfermera,hospital,verdura,verde,ensalada,limpieza,piso,recogedor,recuerdo,camara,sonreir,cupon,oferta,ahorro,dolor,doctor,alivio,espejo,yo,sombra,bebida,refresco,fanta,calor,sol,lentes,cielo,avion,alas,banana,banana,banana,hair,black,brush,money,coins,check,beds,vacation,samples,wheels,horn,windows,shirt,pants,dress,weight,jumping,mat,pizza,hungry,mouth,soda,water,fanta,accident,leg,hospital,clean,floor,chore,bottle,fork,spoon,rest,bed,night,vegetable,sauce,red,weather,sun,sunglasses,candy,chocolate,husband,English and Spanish,spanish,spanish,spanish,Yes,high school,5 years,No,Yes,"United States, I live here now"
sp152,Female,26,Yes,Tequila,Boracho ,Margarita,Playa,Deserto ,Sol,Familia,Amor ,Albergue,Futbol ,Balonsesto,Pelota,Hospital,Enfermera,Medicina ,Dieta,Esalada,Animales ,Liempiar,Bruja ,Barrer,Memorias ,Sonrisa ,Feliz tiempo,Ventas ,Compra uno coje el otro gratis,Especiales ,Doctor,Enfermo,Hospital,Espejo,Agua,Cristal ,Coca cola ,Rico,Azuca ,Calor,Vaccaiones,Playa,Avion ,Vaccaciones,Cielo ,Banana,Banana,Banana,Brain,Hair,Face,Money,Savings,Routing number ,Vacation ,Relax,Fun,Engine,Tires,Horn,Shirt,Pants,Sweater,Healthy,Lose weight,Gym,Meat,Fruit,Pasta,Thirsty,Water,Soda,Hurt ,Broken bone,Hospital,Clean ,Floor,Bucket,Recycle,Straws,Bags,Melatonin ,Tired,Close eyes,Ketchup,Red,Vegetables,Sun ,Summer,Oven,Chocolate ,Candy ,Milkshake,English Spanish ,English Spanish ,English Spanish,English Spanish,Yes,High school college,2 semesters,Yes,No,
sp153,Male,26,Yes,Beber,Borrachera,Fiesta,Piedra,Agua,Valle,Hogar,Familia,Inversion,Futbol,Ejercicio,Sudar,Salud,Medicina,Cirugia,Comida,Verdura,Verde,Limpiar,Mandado,Tierra,Recuerdos,Camara,Memorias,Tienda,Ropa,Comprar,Salud,Cura,Aseguranza,Vidrio,Espejo,Luz,Azúcar,Coca cola,Refresco,Sol,Calor,Humedad,Avion,Helicoptero,Aventura,Banana,Banana,Banana,Brain,Shape,Eyes,Money,Federation,Investment,Hospitality,Vacation,Resort,Travel,Fuel,Sale,Fashion,Size,Thrift,Sport,Health,Body,Culture,Community,Health,Soda,Beverage,Beer,Cast,Pain,Heal,Clean,Sparkle,Floor,Recycle,Bottle,Harmful,Rest,Shut eye,Night,Red,Veggie,Salsa,Sun,Summer,Heat,Candy,Chocolate,Sugar,"English, Spanish",Spanish,Spanish,Spanish,Yes,"Middle, high school, college",10 years,Yes,No,
sp154,Male,19,Yes,malo,duele,poco,trabajos,carros,juegos,relajarse,dormir,perro,bote,documentos,importar,medicina,covid,trabajo,ensalada,platos,verduras,cepillo,limpio,tareas,familia,novia,amigos,video juego,comida,dinero,doctora,covid,cabeza,espejo,yo,persona,pepsi,fanta,frío,caliente,nadar,sol,pájaro,avión,helicóptero,banana,banana,banana,body,legs,brain,money,cash,work,trips,Luxury ,vacation,payments,costly,fast,shirt,jeans,style,gym,workout,heat,hunger,meals,steak,water,liquids,cup,pain,bruse,fall,cleaning,broom,floors,waste,recycle,pollution ,bed,night,tired,Ketchup ,hamburger,fries,summer,food,sun,candy,soda,juice,"English, Spanish ",2,,,Yes,high school,2 semesters,Yes,Yes,"Nevada, 10 years"
sp155,Male,23,Yes,adictivo,destructivo,fuerte,playa,agua,concha,apartamento,hogar,familia,rapidez,fuerza,equipo,enfermera,guantes,inteligente,ensalada,tomate,cebolla,limpio,trapeador,sucio,camara,evento,felicidad,barato,liquidacion,reduccion,doctor,enfermo,enfermera,rapido,lento,gato,dulce,azucar,adictiva,calor,sol,playa,avion,alas,cielo,banana,banana,banana,shoulder,hair,shape,money,teller,debt,rest,cheap,expensive,motorcycle,gas,vehicle,warm,expensive,store,healthy,sweat,strong,fat,skinny,taste,alcohol,water,thirtsy,hurt,pain,accident,broom,clean,dirty,paper,bad,environment,nap,slumber,tired,lettuce,onion,pepper,warm,cold,shorts,sugar,dessert,processed,"English, Spanish, and French.",Spanish,Spanish and English,Spanish and English,No,,,No,No,
sp156,Female,28,Yes,drunk,party,college,playa,sol,agua,hogar,cama,comida,futbol,escuela,trofeo,estudio,medico,alivio,comida,verde,hamburgesa,sucio,recojer,barrer,recuerdo,familia,camara,vestido,abrigo,zapatos,doctor,alivio,salud,espejo,maquillaje,ver,beber,baso,comida,playa,sol,agua,arbol,cielo,pajaro,banana,banana,banana,top,level,master,money,corporation,savings,sleep,pillow,pool,drive,dealership,crash,shoes,dress,attire,calories,plan,schedule,water,burger,hot dog,soda,water,hydrate,pain,doctor,hospital,clean,chore,house,recycle,pollution,surgery,relax,replenish,pillow,burger,sandwich,fruit,coffee,tea,food,candy,kind,cake,"spanish, English, little French",spanish/english,spanish/english,spanish/english,Yes,elementary,2,No,No,
sp157,Female,31,Yes,bebida,cerveza,vodka,playa,granos,amarillo,hogar,familia,edificio,soccer,basketbol,salud,médico,enfermedad,medicina,vegetal,ensalada,saludable,recojedor,limpiar,trabajo,personas,recuerdos,memorias,porcentaje,precio,venta,enfermedad,curarse,medicamento,espejo,mirada,brillante,refresco,coca cola,sprite,diversion,playa,calor,avión,cielos,viaje,banana,banana,banana,neck,eyes,face,money,security,institution,travel,stay,building,vehicle,travel,speed,clothes,discount,sale,workout,sport,health,delicious,cookies,eat,liquid,soda,water,wound,sprain,broken,broom,wet,clean,garbage,contamination,waste,bed,bedroom,rest,vegetable,lettuce,salad,summer,heat,air,candy,sugar,tasty,"Spanish, English",Spanish,Spanish,Spanish,Yes,elementary school throughout college,96 semesters/16 years,No,Yes,"USA... I still live here, so almost 10 years"
sp158,Female,24,Yes,borracho,fiesta,bailar,playa,mar,verano,cama,comida,familia,futbol,athletico,gol,medicina,universidad,intelligente,sandwiche,vegetable,hamburgesa,limpiar,sucio,mugre,camera,memorias,pasado,compra,dinero,tienda,doctor,vacuna,pharmacia,espejo,lago,maquillase,gaseosa,azucar,carbonacion,playa,arena,calor,avion,aeropuerto,vaccacion,banana,banana,banana,brain,eyes,mouth,money,loan,interest,room,luggage,vacation,wheels,engine,transmission,pants,shirt,socks,running,lifting,sweating,pizza,cheeseburger,sushi,soda,juice,water,hurt,cut,wounded,dirty,floor,clean,bag,ocean,packaging,dream,lie,relax,salad,burger,ketchup,beach,summer,humidity,candy,sugar,soda,"English, Spanish",Spanish,"English, Spanish","English, Spanish",No,,,Yes,No,
sp159,Female,19,Yes,algodón,blanco,bebida,playa,castillos,océano,techo,familia,grande,tenis,equipo,pelota,hospital,medicina,paciente,verde,hamburguesa,mojada,piso,mujer,rocogedor,cámara,sonrisa,turismo,ropa,porcentaje,tienda,pastillas,doctor,agua,espejo,agua,similar,gas,fría ,comida ,caliente,sol,playa,pájaro,alas,avión,banana,banana,banana,hair,round,face,money,checks,clerks,bed,pool,city,road,wheel,tires,store,price,person,gym,running,water,hamburger,fruit,eating,gulp,alcohol,bottle,blood,alcohol,gauze,woman,floor,house,ocean,turtles,bottle,bed,yawn,blanket,red,fruit,Italy,steam,burn,red,candy,person,awesome,English and Spanish,Spanish,Spanish,Spanish,Yes,"Elementary, Middle School, High School, College",14 years,Yes,Yes,United States; I live here
