"","node"
"1","aarbitro"
"2","alojamiento"
"3","alquilar"
"4","aspiradora"
"5","avioon"
"6","barato"
"7","barrer"
"8","basura"
"9","calor"
"10","cama"
"11","camisa"
"12","camiseta"
"13","campeonato"
"14","carne"
"15","caro"
"16","cerveza"
"17","cocinar"
"18","cuadro"
"19","dinero"
"20","dolor"
"21","enfermarse"
"22","ensalada"
"23","entrenador"
"24","espejo"
"25","falda"
"26","friio"
"27","jugador"
"28","lavadora"
"29","lavar"
"30","limpiar"
"31","lluvia"
"32","maleta"
"33","manejar"
"34","meedico"
"35","muleta"
"36","nieve"
"37","pantaloon"
"38","partido"
"39","pelota"
"40","planchar"
"41","playa"
"42","pollo"
"43","postre"
"44","radiografiia"
"45","rebaja"
"46","refresco"
"47","saabana"
"48","saludable"
"49","sol"
"50","sombrero"
"51","tienda"
"52","vendedor"
"53","vestido"
"54","viento"
"55","aeropuerto"
"56","arbol"
"57","baloncesto"
"58","bueno"
"59","camisa"
"60","campeonato"
"61","campeoon"
"62","campo"
"63","ceesped"
"64","cocina"
"65","comida"
"66","deporte"
"67","entrenador"
"68","equipo"
"69","espectador"
"70","fuutbol"
"71","fuutbol americano"
"72","ganar"
"73","grupo"
"74","hombre"
"75","juego"
"76","jugador"
"77","jugar"
"78","liider"
"79","mannana"
"80","otonno"
"81","partido"
"82","pelota"
"83","playa"
"84","que"
"85","regla"
"86","saber"
"87","silbar"
"88","sol"
"89","ajo"
"90","aloe"
"91","alquilar"
"92","amorar"
"93","atender"
"94","avioon"
"95","ayuda"
"96","ayudar"
"97","banno"
"98","bien"
"99","cama"
"100","cambio"
"101","casa"
"102","cita"
"103","colegio"
"104","cuaderno"
"105","cuarto"
"106","cuidado"
"107","dinero"
"108","discapacitado"
"109","divertido"
"110","dormitorio"
"111","ducha"
"112","escuela"
"113","especia"
"114","estancia"
"115","familia"
"116","gracias"
"117","habitacioon"
"118","hola"
"119","hotel"
"120","lavar"
"121","maleta"
"122","malo"
"123","necesidad"
"124","paciente"
"125","pagar"
"126","problema"
"127","reserva"
"128","reservacion"
"129","residencia"
"130","restaurante"
"131","servicio"
"132","simpaatico"
"133","vacacioon"
"134","viajar"
"135","viaje"
"136","vivir"
"137","agua"
"138","alquiler"
"139","amigo"
"140","apartamento"
"141","carro"
"142","ciudad"
"143","coche"
"144","cuadro"
"145","departamento"
"146","esquii"
"147","famillia"
"148","hermana"
"149","jefe"
"150","mes"
"151","metroopolis"
