Participant,Gender,Age,SpanL1,[Field-1]-agua-relatedword1,[Field-1]-agua-relatedword2,[Field-1]-agua-relatedword3,[Field-1]-banco-relatedword1,[Field-1]-banco-relatedword2,[Field-1]-banco-relatedword3,[Field-1]-carro-relatedword1,[Field-1]-carro-relatedword2,[Field-1]-carro-relatedword3,[Field-1]-comida-relatedword1,[Field-1]-comida-relatedword2,[Field-1]-comida-relatedword3,[Field-1]-hotel-relatedword1,[Field-1]-hotel-relatedword2,[Field-1]-hotel-relatedword3,[Field-1]-dormir-relatedword1,[Field-1]-dormir-relatedword2,[Field-1]-dormir-relatedword3,[Field-1]-ejercicio-relatedword1,[Field-1]-ejercicio-relatedword2,[Field-1]-ejercicio-relatedword3,[Field-1]-futbol-relatedword1,[Field-1]-futbol-relatedword2,[Field-1]-futbol-relatedword3,[Field-1]-hospital-relatedword1,[Field-1]-hospital-relatedword2,[Field-1]-hospital-relatedword3,[Field-1]-dulce-relatedword1,[Field-1]-dulce-relatedword2,[Field-1]-dulce-relatedword3,[Field-1]-mujer-relatedword1,[Field-1]-mujer-relatedword2,[Field-1]-mujer-relatedword3,[Field-1]-ropa-relatedword1,[Field-1]-ropa-relatedword2,[Field-1]-ropa-relatedword3,[Field-1]-sucio-relatedword1,[Field-1]-sucio-relatedword2,[Field-1]-sucio-relatedword3,[Field-1]-viaje-relatedword1,[Field-1]-viaje-relatedword2,[Field-1]-viaje-relatedword3,Forthisquestiontypethewordbananainthethreeboxes.-relatedword1,Forthisquestiontypethewordbananainthethreeboxes.-relatedword2,Forthisquestiontypethewordbananainthethreeboxes.-relatedword3,[Field-1]-alcohol-relatedword1,[Field-1]-alcohol-relatedword2,[Field-1]-alcohol-relatedword3,[Field-1]-art-relatedword1,[Field-1]-art-relatedword2,[Field-1]-art-relatedword3,[Field-1]-broom-relatedword1,[Field-1]-broom-relatedword2,[Field-1]-broom-relatedword3,[Field-1]-doctor-relatedword1,[Field-1]-doctor-relatedword2,[Field-1]-doctor-relatedword3,[Field-1]-apartment-relatedword1,[Field-1]-apartment-relatedword2,[Field-1]-apartment-relatedword3,[Field-1]-fun-relatedword1,[Field-1]-fun-relatedword2,[Field-1]-fun-relatedword3,[Field-1]-garbage-relatedword1,[Field-1]-garbage-relatedword2,[Field-1]-garbage-relatedword3,[Field-1]-grocery-relatedword1,[Field-1]-grocery-relatedword2,[Field-1]-grocery-relatedword3,[Field-1]-wet-relatedword1,[Field-1]-wet-relatedword2,[Field-1]-wet-relatedword3,[Field-1]-beef-relatedword1,[Field-1]-beef-relatedword2,[Field-1]-beef-relatedword3,[Field-1]-sand-relatedword1,[Field-1]-sand-relatedword2,[Field-1]-sand-relatedword3,[Field-1]-reflection-relatedword1,[Field-1]-reflection-relatedword2,[Field-1]-reflection-relatedword3,[Field-1]-sport-relatedword1,[Field-1]-sport-relatedword2,[Field-1]-sport-relatedword3,[Field-1]-to_fly-relatedword1,[Field-1]-to_fly-relatedword2,[Field-1]-to_fly-relatedword3,[Field-1]-to_hurt-relatedword1,[Field-1]-to_hurt-relatedword2,[Field-1]-to_hurt-relatedword3,[Field-1]-winter-relatedword1,[Field-1]-winter-relatedword2,[Field-1]-winter-relatedword3,LangSpoken,Lang_0-5,Lang_6-12,Lang_13-18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country
sp101,Male,19,Yes,fresca,hielo,fria,dinero,financias,prestamo,ventana,dinero,gas,arroz,pollo,carne,room,bed,price,cama,sueno,noche,bench,sudor,musculo,soccer,pelota,goal,bed,doctor,medicine,chicle,chocolate,vanilla,senora,nina,persona,sucia,camiseta,pantalones,tierra,ropa,manos,vacaciones,avion,verano,banana,banana,banana,drunk,beer,wine,paint,artist,expression,sweep,clean,chore,medicine,rich,surgery,complex,landlord,rent,time,game,play,truck,man,disposal,store,vegetable,aisle,water,dish,pool,cow,meat,burger,pit,beach,dig,me,mirror,light,play,soccer,basketball,bird,airplane,hawk,pain,ouch,break,snow,cold,freeze,"Primarily spanish at home, English everywhere else. ",Spanish and English,Spanish and English,Spanish and English,Yes,All schoolwork,13,Yes,Yes,"United States, I live here. "
sp102,Female,23,Yes,fresca ,hielo ,botella ,dinero ,persona ,cheque ,grande ,pequeño ,asiento ,fresa ,aguacate ,pan,cama ,jabón ,aire ,cama ,acostar ,cobija ,pelota ,correr ,tenis ,pelota ,televisión ,estadio ,sangre ,corazón ,doctor,chamoy,chocolate ,dientes,madre ,hermana ,maquillaje ,camisa ,pantalones ,vestido ,polvo ,basura ,tierra ,caro ,avión ,playa ,banana ,banana ,banana ,rum ,tropical ,tequila ,artist ,paint ,brush ,witch ,clean ,flying ,hospital ,surgery ,blood ,home ,bed ,kitchen ,mall ,movies ,television ,gross ,smelly ,waste ,vegetables ,ice cream ,meat ,water ,slip,sea ,cow ,burger,tacos ,weird ,small ,gross ,mulan ,me ,image ,soccer ,tennis ,olympics ,plane ,bird ,superhero ,slap ,hit ,mean ,christmas ,sweaters ,snow ,english and spanish ,both ,both,both ,No,,,Yes,Yes,america 
sp103,Female,24,Yes,Saludable ,Refrescante,Fria ,Dinero,Cheque ,Depósito ,Viaje,Gasolina,Manejar ,Sushi,Gastronomía ,Chef ,Cuartos,Viaje,Descansar ,Soñar ,Noche,Cama,Saludable,Correr,Bicicleta ,Balón ,Deporte,Activo ,Grande,Emergencia ,Gravedad ,Paleta,Gomitas,Azúcar ,Tacones ,Vestido ,Falda ,Camisa,Pantalón ,Armario ,Tierra ,Oscuro ,Incómodo ,Avión ,Pasaporte ,Dinero ,Banana,Banana,Banana ,Hangover,Beer,Tequila,Easel ,Painting ,Music ,Mop,Dirt,Chore,Medication,Clinic,Insurance,Home,Independent,Rent,Laughter,Joy,Energy ,Trash,Smelly ,Landfill ,Bag,Apple,Milk ,Water ,Slippery,Caution ,Pork,Tacos,Cow,Beach ,Castle ,Silica ,Mirror,Window,Glass ,Soccer,Football,Basketball ,Plane,Bird,Wind,Heartbreak,Injured ,Sad,Snow,Cold,December ,Spanish English ,Spanish,Spanish,Spanish ,Yes,"Elementary school, high school",Unsure,No,No,
sp104,Male,27,Yes,tomar,hidratar,ielo,dinero,tarjeta,credito,gasolina,llanta,manejar,comer,cena,desalluno,dormir,vacacion,pisina,cama,sueño,relajar,brincar,correr,nadar,pelota,equipo,jugar,enfermo,doctor,daño,pastel,dona,chocolate,novia,bella,amor,camica,pantalon,zapato,baño,asco,feo,vacacion,avion,relajar,banana,banana,banana,drink,vodka,tequila,fancy,museum,van gogh,sweep,magic,dust,sick,health,hospital,rent,expensive,live,living,real world,paramore,trash,dirty,nasty,food,milk,egg,wild,water,swim,cow,pig,chicken,coarse,rough,hate,mulan,girl,mirror,soccer,football,basketball,plane,sky,power,pain,grief,sorrow,cold,coming,snow,english and spanish,Spanish and English,Spanish and English,Spanish and English,Yes,All my life,12,No,No,
sp105,Male,25,Yes,water,ocean,river,bank,money,dinero,car,driving,,food,pizza,hamburger,cuarto,room,vacation,sleep,sueno,tired,correr,jugar,weight lifting,soccer,messi,ronaldo,injury,sick,muerte,candy,sweet,pan,girl,woman,nina,clothes,shirt,pants,dirty,cochino,puerco,travel,trip,salir,banana,banana,banana,drunk,beer,wine,strange,abstract,mona lisa,sweep,clean,dirty,sick,death ,smart,rent,home,living,happy,laughing,joy,trash,smelly,dirty,shopping,store,food,water,slippery,cold,cow,food,hamburger,beach,rough,coarse,mirror,water,similar,basketball,mma,boxing,bird,airplane,bat,kill,blood,pain,cold,slow,lake tahoe,"spanish, english","spanish, english","spanish, english","spanish, english",Yes,elementary school,3 years,Yes,Yes,I live in the USA... 
sp106,Female,25,Yes,mar,oceano,piscina,dinero,cheque,plata,auto,licencia,ruedas,cilantro,empanadas,picante,cama,playa,piso,cama,ojos,descanso,abdominales,gimnasio,pesas,hinchas,estadio,selección,enfermeras,doctores,pacientes,caramelo,chocolate,azucar,hombre,relación,belleza,tienda,lavadora,secadora,piso,limpio,debéres,avión,pasaje,maleta,banana,banana,banana,drink,alcoholic,mixer,gallery,museum,artist,dustpan,clean,kitchen,nurse,chart,patient,floor,balcony,rent,beach,sunny,warm,can,trash,food,store,fruits,veggies,water,diaper,clean,roast,cow,food,beach,ocean,castle,mirror,lake,Mulan,football,soccer,ball,plane,bird,free,bandaid,injury,sad,snow,cold,snowflake,"Spanish, English","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,No,
sp107,Male,27,Yes,fria,mar,mojado,dinero,cuenta,prestamo,vehiculo,viajar,transportar,comer,consumir,compra,dormir,viaje,rentar,relajar,soniar,descansar,esfuerso,sudar,energia,Americano,Mundial,Campeon,doctor,enfermero,enfermedad,sabor,tienda,abuela,hombre,flaca,rubia,desnudar,comprar,vieja,limpia,trapo,cervilleta,lejo,carro,afuerra,banana,banana,banana,drink,fun,hot dog,Basquit,Moffet,class,sweep,clean,tidy,quack,hack,ghetto,room,live,trash,enjoyable,drugs,girls,hot,rot,ganges,shop,food,lines,moist,change,gross,meat,fish,where's,hate,rough,coarse,mirror,same,opposite,wii,football,soccer,jump,plane,fall,pain,wound,inflict,cold,fall,spring,English and Spanish,spanish,spanish,English and Spanish,No,,,Yes,No,
sp108,Female,31,Yes,Bebida,Café,Jugo,Dinero,Cliente,Institución,Coche,Autobús,Avión,Bebida,Almuerzo,Delicioso,Motel,Inn,Travel,Almohada,Cama,Sábana,Deporte,Correr,Yoga,Deporte,Gol,Pelota,Emergency,Doctor,Nurse,Chocolate,Caramelo,Azúcar,Chica,Niña,Señora,Camisa,Blusa,Pantalón,Feo,Ciudad,Lomo,Avión,Boleto,País,Banana,Banana,Banana,Wine,Beer,Liquor,Painting,Sculpture,Drawing,Mop,Dustpan,Sweep,Nurse,Stethoscope,Clinic,Flat,Rent,Landlord,Excitement,Happy,Adventure,Trash,Waste,Litter,Food,Shopping,Produce,Water,Rain,Shower,Meat,Chicken,Steak,Beach,Summer,Ocean,Mirror,Contemplation,Water,Soccer,Football,Tennis,Bird,Plane,Wings,Bleed,Cut,Bandage,Snow,Ice,Coat,English and Spanish,"Spanish, English","Spanish, English","Spanish, English",No,,,Yes,Yes,United States - I live there
sp109,Female,21,Yes,azul,lago,oceano,dinero,trabajo,cheque,coche,manejar,carretera,fruta,verdura,lonche,cuarto,dormir,alberca,cama,noche,despertar,correr,peso,calorias,pelota,portero,estadio,doctor,paciente,cama,sabroso,fruta,comida,senora,mama,hombre,blusa,camisa,pantalon ,mugroso,banar,feo,avion,pais,vacacion,banana,banana,banana,drink,liquor,wine,pencil,paint,canvas,sweep,witch,clean,pacient,hospital,office,floors,units,home,happy,joy,laugh,dirty,smelly,trash,food,shop,store,rain,water,damp,meat,cow,food,ocean,beach,water,mirror,water,see,soccer,football,babeball,plane,bird,high,sad,pain,harm,snow,holidays,cold,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",No,,,No,Yes,n/a
sp110,Female,27,Yes,fresca,caliente,fria,dinero,cuenta,trabajo,velocidad,manejar,chiquito,frijoles,torta,burrito,playa,viaje,dormir,cansado,despertar,cama,correr,caminar,nadar,juego,pelota,diversion,enfermo,muerte,doctor,pinata,fiesta,delicioso,fuerte,mama,hija,blusa,pantalon,zapatos,tierra,agua,bano,playa,hotel,avion,banana,banana,banana,margarita,mimosa,party,colorful,gallery,fun,clean,mop,dirty,office,work,check up,home,tall,crowded,beach,summer,pool,stinks,dirty,trash,food,store,bags,pool,summer,beach,cow,food,delicious,beach,ocean,vacation,mirror,bathroom,shiny,soccer,ball,football,plane,bird,ladybug,pain,ouch,injury,cold,snow,christmas,Spanish and English,2,2,2,No,,,Yes,No,
