word_ID,Word,translation,List,Block
r2_sp_a1,agua,water,A,Span
r2_sp_a2,banco,bank,A,Span
r2_sp_a3,carro,car,A,Span
r2_sp_a4,comida,food,A,Span
r2_sp_a5,hotel,hotel,A,Span
r2_sp_a6,dormir,to sleep,A,Span
r2_sp_a7,ejercicio,exercise,A,Span
r2_sp_a8,futbol,soccer,A,Span
r2_sp_a9,hospital,hospital,A,Span
r2_sp_a10,dulce,sweet,A,Span
r2_sp_a11,mujer,woman,A,Span
r2_sp_a12,ropa,clothing,A,Span
r2_sp_a13,sucio,dirty,A,Span
r2_sp_a14,viaje,trip,A,Span
r2_en_a1,alcohol,alcohol,A,Eng
r2_en_a2,art,arte,A,Eng
r2_en_a3,broom,escoba,A,Eng
r2_en_a4,doctor,doctor,A,Eng
r2_en_a5,apartment,apartamento,A,Eng
r2_en_a6,fun,divertido,A,Eng
r2_en_a7,garbage,basura,A,Eng
r2_en_a8,grocery,almacen,A,Eng
r2_en_a9,wet,mojado,A,Eng
r2_en_a10,beef,carne,A,Eng
r2_en_a11,sand,arena,A,Eng
r2_en_a12,reflection,reflejo,A,Eng
r2_en_a13,sport,deporte,A,Eng
r2_en_a14,to_fly,volar,A,Eng
r2_en_a15,to_hurt,lastimar,A,Eng
r2_en_a16,winter,invierno,A,Eng
r2_sp_b1,alcohol,alcohol,B,Span
r2_sp_b2,arena,sand,B,Span
r2_sp_b3,casa,house,B,Span
r2_sp_b4,deporte,sport,B,Span
r2_sp_b5,doctor,doctor,B,Span
r2_sp_b6,lechuga,lettuce,B,Span
r2_sp_b7,escoba,broom,B,Span
r2_sp_b8,foto,photo,B,Span
r2_sp_b9,descuento,discount,B,Span
r2_sp_b10,medicina,medicine,B,Span
r2_sp_b11,reflejo,reflection,B,Span
r2_sp_b12,soda,soda,B,Span
r2_sp_b13,verano,summer,B,Span
r2_sp_b14,volar,to fly,B,Span
r2_en_b1,head,cabeza,B,Eng
r2_en_b2,bank,banco,B,Eng
r2_en_b3,hotel,hotel,B,Eng
r2_en_b4,car,carro,B,Eng
r2_en_b5,clothing,ropa,B,Eng
r2_en_b6,exercise,ejercicio,B,Eng
r2_en_b7,food,comida,B,Eng
r2_en_b8,drink,beber,B,Eng
r2_en_b9,injury,lesion,B,Eng
r2_en_b10,mop,mopa,B,Eng
r2_en_b11,plastic,plastico,B,Eng
r2_en_b12,to_sleep,dormir,B,Eng
r2_en_b13,tomato,tomate,B,Eng
r2_en_b14,hot,caliente,B,Eng
r2_en_b15,sweet,dulce,B,Eng
